"","Name","Party","Rank","VoteCount","VoteShare","Title"
"526","Brian G. Doherty","Other Parties","1 of 4","13,782","51.9%","Election Results for 1991 General Election, Alderman, Ward 41, Chicago, IL"
"527","Roman C. Pucinski","Democratic Party","2 of 4","11,698","44.1%","Election Results for 1991 General Election, Alderman, Ward 41, Chicago, IL"
"528","Under Votes","Other Parties","3 of 4","996","3.8%","Election Results for 1991 General Election, Alderman, Ward 41, Chicago, IL"
"529","Over Votes","Other Parties","4 of 4","65","0.2%","Election Results for 1991 General Election, Alderman, Ward 41, Chicago, IL"
"530","Helen Shiller","Democratic Party","1 of 4","8,613","50.7%","Election Results for 1991 General Election, Alderman, Ward 46, Chicago, IL"
"531","Michael B. Quigley","Other Parties","2 of 4","7,652","45.1%","Election Results for 1991 General Election, Alderman, Ward 46, Chicago, IL"
"532","Under Votes","Other Parties","3 of 4","656","3.9%","Election Results for 1991 General Election, Alderman, Ward 46, Chicago, IL"
"533","Over Votes","Other Parties","4 of 4","63","0.4%","Election Results for 1991 General Election, Alderman, Ward 46, Chicago, IL"
"534","Joe Moore","Other Parties","1 of 4","5,842","49.8%","Election Results for 1991 General Election, Alderman, Ward 49, Chicago, IL"
"535","Robert Clarke","Other Parties","2 of 4","5,292","45.1%","Election Results for 1991 General Election, Alderman, Ward 49, Chicago, IL"
"536","Under Votes","Other Parties","3 of 4","539","4.6%","Election Results for 1991 General Election, Alderman, Ward 49, Chicago, IL"
"537","Over Votes","Other Parties","4 of 4","56","0.5%","Election Results for 1991 General Election, Alderman, Ward 49, Chicago, IL"
"538","Robert Shaw","Democratic Party","1 of 4","4,899","46.4%","Election Results for 1991 General Election, Alderman, Ward 9, Chicago, IL"
"539","Johnny J. O'neal","Democratic Party","2 of 4","4,862","46.1%","Election Results for 1991 General Election, Alderman, Ward 9, Chicago, IL"
"540","Under Votes","Other Parties","3 of 4","683","6.5%","Election Results for 1991 General Election, Alderman, Ward 9, Chicago, IL"
"541","Over Votes","Other Parties","4 of 4","110","1.0%","Election Results for 1991 General Election, Alderman, Ward 9, Chicago, IL"
"542","Theodore C. Mazola","Other Parties","1 of 5","6,564","55.9%","Election Results for 1991 Primary Election, Alderman, Ward 1, Chicago, IL (Non-Partisan Aldermanic Election)"
"543","Timothy R. Piech","Other Parties","2 of 5","1,832","15.6%","Election Results for 1991 Primary Election, Alderman, Ward 1, Chicago, IL (Non-Partisan Aldermanic Election)"
"544","Tom Sharpe","Other Parties","3 of 5","1,615","13.8%","Election Results for 1991 Primary Election, Alderman, Ward 1, Chicago, IL (Non-Partisan Aldermanic Election)"
"545","Doreathear E. Washington","Other Parties","4 of 5","1,236","10.5%","Election Results for 1991 Primary Election, Alderman, Ward 1, Chicago, IL (Non-Partisan Aldermanic Election)"
"546","William A. Brown","Other Parties","5 of 5","486","4.1%","Election Results for 1991 Primary Election, Alderman, Ward 1, Chicago, IL (Non-Partisan Aldermanic Election)"
"547","John J. Buchanan","Democratic Party","1 of 10","5,787","34.6%","Election Results for 1991 Primary Election, Alderman, Ward 10, Chicago, IL (Non-Partisan Aldermanic Election)"
"548","Clem Balanoff","Democratic Party","2 of 10","4,256","25.4%","Election Results for 1991 Primary Election, Alderman, Ward 10, Chicago, IL (Non-Partisan Aldermanic Election)"
"549","David H. Ortiz","Other Parties","3 of 10","2,775","16.6%","Election Results for 1991 Primary Election, Alderman, Ward 10, Chicago, IL (Non-Partisan Aldermanic Election)"
"550","John Davis","Other Parties","4 of 10","1,441","8.6%","Election Results for 1991 Primary Election, Alderman, Ward 10, Chicago, IL (Non-Partisan Aldermanic Election)"
"551","Alex Adams","Other Parties","5 of 10","878","5.2%","Election Results for 1991 Primary Election, Alderman, Ward 10, Chicago, IL (Non-Partisan Aldermanic Election)"
"552","Maurice Richards","Other Parties","6 of 10","559","3.3%","Election Results for 1991 Primary Election, Alderman, Ward 10, Chicago, IL (Non-Partisan Aldermanic Election)"
"553","Steve Katich","Other Parties","7 of 10","458","2.7%","Election Results for 1991 Primary Election, Alderman, Ward 10, Chicago, IL (Non-Partisan Aldermanic Election)"
"554","James Edward Walker, Ii","Other Parties","8 of 10","375","2.2%","Election Results for 1991 Primary Election, Alderman, Ward 10, Chicago, IL (Non-Partisan Aldermanic Election)"
"555","Joseph Blackmon","Other Parties","9 of 10","140","0.8%","Election Results for 1991 Primary Election, Alderman, Ward 10, Chicago, IL (Non-Partisan Aldermanic Election)"
"556","Marion L. Fisher","Democratic Party","10 of 10","57","0.3%","Election Results for 1991 Primary Election, Alderman, Ward 10, Chicago, IL (Non-Partisan Aldermanic Election)"
"557","Patrick M. Huels","Democratic Party","1 of 1","13,859","100.0%","Election Results for 1991 Primary Election, Alderman, Ward 11, Chicago, IL (Non-Partisan Aldermanic Election)"
"558","Mark J. Fary","Democratic Party","1 of 3","9,347","71.0%","Election Results for 1991 Primary Election, Alderman, Ward 12, Chicago, IL (Non-Partisan Aldermanic Election)"
"559","Aloysius A. Majerczyk","Republican Party","2 of 3","2,074","15.7%","Election Results for 1991 Primary Election, Alderman, Ward 12, Chicago, IL (Non-Partisan Aldermanic Election)"
"560","Alan R. Mercado","Democratic Party","3 of 3","1,751","13.3%","Election Results for 1991 Primary Election, Alderman, Ward 12, Chicago, IL (Non-Partisan Aldermanic Election)"
"561","John S. Madrzyk","Democratic Party","1 of 2","22,456","84.9%","Election Results for 1991 Primary Election, Alderman, Ward 13, Chicago, IL (Non-Partisan Aldermanic Election)"
"562","Thomas Robert Flamm","Other Parties","2 of 2","3,980","15.1%","Election Results for 1991 Primary Election, Alderman, Ward 13, Chicago, IL (Non-Partisan Aldermanic Election)"
"563","Edward M. Burke","Democratic Party","1 of 1","10,661","100.0%","Election Results for 1991 Primary Election, Alderman, Ward 14, Chicago, IL (Non-Partisan Aldermanic Election)"
"564","Clarence T. White","Other Parties","1 of 15","2,082","22.2%","Election Results for 1991 Primary Election, Alderman, Ward 15, Chicago, IL (Non-Partisan Aldermanic Election)"
"565","Virgil E. Jones","Democratic Party","2 of 15","1,851","19.7%","Election Results for 1991 Primary Election, Alderman, Ward 15, Chicago, IL (Non-Partisan Aldermanic Election)"
"566","Rickey Jones","Other Parties","3 of 15","1,251","13.3%","Election Results for 1991 Primary Election, Alderman, Ward 15, Chicago, IL (Non-Partisan Aldermanic Election)"
"567","Marlene C. Carter","Democratic Party","4 of 15","1,155","12.3%","Election Results for 1991 Primary Election, Alderman, Ward 15, Chicago, IL (Non-Partisan Aldermanic Election)"
"568","Clemmie L. Harris","Other Parties","5 of 15","920","9.8%","Election Results for 1991 Primary Election, Alderman, Ward 15, Chicago, IL (Non-Partisan Aldermanic Election)"
"569","Denoise L. Taylor","Other Parties","6 of 15","413","4.4%","Election Results for 1991 Primary Election, Alderman, Ward 15, Chicago, IL (Non-Partisan Aldermanic Election)"
"570","Joseph H. Shaw","Other Parties","7 of 15","401","4.3%","Election Results for 1991 Primary Election, Alderman, Ward 15, Chicago, IL (Non-Partisan Aldermanic Election)"
"571","Joseph J. Massie","Other Parties","8 of 15","265","2.8%","Election Results for 1991 Primary Election, Alderman, Ward 15, Chicago, IL (Non-Partisan Aldermanic Election)"
"572","Bernetta Pearson","Democratic Party","9 of 15","262","2.8%","Election Results for 1991 Primary Election, Alderman, Ward 15, Chicago, IL (Non-Partisan Aldermanic Election)"
"573","Generall J. G. Voker, Ii","Other Parties","10 of 15","206","2.2%","Election Results for 1991 Primary Election, Alderman, Ward 15, Chicago, IL (Non-Partisan Aldermanic Election)"
"574","David Whitehead","Other Parties","11 of 15","195","2.1%","Election Results for 1991 Primary Election, Alderman, Ward 15, Chicago, IL (Non-Partisan Aldermanic Election)"
"575","S. L. Gholar","Other Parties","12 of 15","181","1.9%","Election Results for 1991 Primary Election, Alderman, Ward 15, Chicago, IL (Non-Partisan Aldermanic Election)"
"576","Albert James Mccollum","Other Parties","13 of 15","91","1.0%","Election Results for 1991 Primary Election, Alderman, Ward 15, Chicago, IL (Non-Partisan Aldermanic Election)"
"577","Bernard C. Robinson, Sr.","Other Parties","14 of 15","75","0.8%","Election Results for 1991 Primary Election, Alderman, Ward 15, Chicago, IL (Non-Partisan Aldermanic Election)"
"578","Richard E. Hodge","Other Parties","15 of 15","45","0.5%","Election Results for 1991 Primary Election, Alderman, Ward 15, Chicago, IL (Non-Partisan Aldermanic Election)"
"579","James C. Taylor","Democratic Party","1 of 9","2,715","30.0%","Election Results for 1991 Primary Election, Alderman, Ward 16, Chicago, IL (Non-Partisan Aldermanic Election)"
"580","Shirley A. Coleman","Other Parties","2 of 9","1,626","18.0%","Election Results for 1991 Primary Election, Alderman, Ward 16, Chicago, IL (Non-Partisan Aldermanic Election)"
"581","Hal E. Baskin","Other Parties","3 of 9","1,504","16.6%","Election Results for 1991 Primary Election, Alderman, Ward 16, Chicago, IL (Non-Partisan Aldermanic Election)"
"582","Walter Crawford","Other Parties","4 of 9","1,162","12.8%","Election Results for 1991 Primary Election, Alderman, Ward 16, Chicago, IL (Non-Partisan Aldermanic Election)"
"583","James A. Tyson, Jr.","Democratic Party","5 of 9","958","10.6%","Election Results for 1991 Primary Election, Alderman, Ward 16, Chicago, IL (Non-Partisan Aldermanic Election)"
"584","Jerry Washington","Democratic Party","6 of 9","399","4.4%","Election Results for 1991 Primary Election, Alderman, Ward 16, Chicago, IL (Non-Partisan Aldermanic Election)"
"585","Justine Mosley Stephens","Other Parties","7 of 9","387","4.3%","Election Results for 1991 Primary Election, Alderman, Ward 16, Chicago, IL (Non-Partisan Aldermanic Election)"
"586","Jimmie Williams","Democratic Party","8 of 9","221","2.4%","Election Results for 1991 Primary Election, Alderman, Ward 16, Chicago, IL (Non-Partisan Aldermanic Election)"
"587","Randolph Anderson, Jr.","Democratic Party","9 of 9","73","0.8%","Election Results for 1991 Primary Election, Alderman, Ward 16, Chicago, IL (Non-Partisan Aldermanic Election)"
"588","Allan Streeter","Democratic Party","1 of 2","6,560","68.6%","Election Results for 1991 Primary Election, Alderman, Ward 17, Chicago, IL (Non-Partisan Aldermanic Election)"
"589","James B. Bolen, Jr.","Other Parties","2 of 2","2,998","31.4%","Election Results for 1991 Primary Election, Alderman, Ward 17, Chicago, IL (Non-Partisan Aldermanic Election)"
"590","Joseph F. Lyman","Other Parties","1 of 6","7,504","37.7%","Election Results for 1991 Primary Election, Alderman, Ward 18, Chicago, IL (Non-Partisan Aldermanic Election)"
"591","Thomas W. Murphy","Other Parties","2 of 6","4,821","24.2%","Election Results for 1991 Primary Election, Alderman, Ward 18, Chicago, IL (Non-Partisan Aldermanic Election)"
"592","Bruce E. Crosby","Democratic Party","3 of 6","2,460","12.4%","Election Results for 1991 Primary Election, Alderman, Ward 18, Chicago, IL (Non-Partisan Aldermanic Election)"
"593","Marie T. Craven","Other Parties","4 of 6","2,200","11.1%","Election Results for 1991 Primary Election, Alderman, Ward 18, Chicago, IL (Non-Partisan Aldermanic Election)"
"594","John H. Swearengen, Jr.","Other Parties","5 of 6","1,819","9.1%","Election Results for 1991 Primary Election, Alderman, Ward 18, Chicago, IL (Non-Partisan Aldermanic Election)"
"595","Robert M. Winter","Other Parties","6 of 6","1,094","5.5%","Election Results for 1991 Primary Election, Alderman, Ward 18, Chicago, IL (Non-Partisan Aldermanic Election)"
"596","Virginia A. Rugai","Other Parties","1 of 6","14,460","61.1%","Election Results for 1991 Primary Election, Alderman, Ward 19, Chicago, IL (Non-Partisan Aldermanic Election)"
"597","Richard W. Diver","Other Parties","2 of 6","3,326","14.1%","Election Results for 1991 Primary Election, Alderman, Ward 19, Chicago, IL (Non-Partisan Aldermanic Election)"
"598","James J. Tierney","Other Parties","3 of 6","2,679","11.3%","Election Results for 1991 Primary Election, Alderman, Ward 19, Chicago, IL (Non-Partisan Aldermanic Election)"
"599","John G. Fitzpatrick","Other Parties","4 of 6","1,641","6.9%","Election Results for 1991 Primary Election, Alderman, Ward 19, Chicago, IL (Non-Partisan Aldermanic Election)"
"600","Richard A. Conrad","Other Parties","5 of 6","954","4.0%","Election Results for 1991 Primary Election, Alderman, Ward 19, Chicago, IL (Non-Partisan Aldermanic Election)"
"601","Dennis W. Johnsen","Other Parties","6 of 6","590","2.5%","Election Results for 1991 Primary Election, Alderman, Ward 19, Chicago, IL (Non-Partisan Aldermanic Election)"
"602","Bobby L. Rush","Democratic Party","1 of 4","4,947","53.9%","Election Results for 1991 Primary Election, Alderman, Ward 2, Chicago, IL (Non-Partisan Aldermanic Election)"
"603","B. Herbert Martin","Other Parties","2 of 4","3,471","37.8%","Election Results for 1991 Primary Election, Alderman, Ward 2, Chicago, IL (Non-Partisan Aldermanic Election)"
"604","Donald Ray Linder","Other Parties","3 of 4","453","4.9%","Election Results for 1991 Primary Election, Alderman, Ward 2, Chicago, IL (Non-Partisan Aldermanic Election)"
"605","Deotis Taylor","Democratic Party","4 of 4","309","3.4%","Election Results for 1991 Primary Election, Alderman, Ward 2, Chicago, IL (Non-Partisan Aldermanic Election)"
"606","Arenda Troutman","Other Parties","1 of 20","2,652","31.7%","Election Results for 1991 Primary Election, Alderman, Ward 20, Chicago, IL (Non-Partisan Aldermanic Election)"
"607","Dino F. Mcneal","Democratic Party","2 of 20","913","10.9%","Election Results for 1991 Primary Election, Alderman, Ward 20, Chicago, IL (Non-Partisan Aldermanic Election)"
"608","Georgia V. Jones","Other Parties","3 of 20","835","10.0%","Election Results for 1991 Primary Election, Alderman, Ward 20, Chicago, IL (Non-Partisan Aldermanic Election)"
"609","John L. Lewis","Other Parties","4 of 20","702","8.4%","Election Results for 1991 Primary Election, Alderman, Ward 20, Chicago, IL (Non-Partisan Aldermanic Election)"
"610","Phillip G. Jones","Other Parties","5 of 20","653","7.8%","Election Results for 1991 Primary Election, Alderman, Ward 20, Chicago, IL (Non-Partisan Aldermanic Election)"
"611","Trina A. Smith","Other Parties","6 of 20","422","5.0%","Election Results for 1991 Primary Election, Alderman, Ward 20, Chicago, IL (Non-Partisan Aldermanic Election)"
"612","Inez M. Gardner","Democratic Party","7 of 20","393","4.7%","Election Results for 1991 Primary Election, Alderman, Ward 20, Chicago, IL (Non-Partisan Aldermanic Election)"
"613","Mary Ann Broy","Other Parties","8 of 20","251","3.0%","Election Results for 1991 Primary Election, Alderman, Ward 20, Chicago, IL (Non-Partisan Aldermanic Election)"
"614","Mattie Abrams","Other Parties","9 of 20","184","2.2%","Election Results for 1991 Primary Election, Alderman, Ward 20, Chicago, IL (Non-Partisan Aldermanic Election)"
"615","Shadrach Goodloe, Jr.","Other Parties","10 of 20","167","2.0%","Election Results for 1991 Primary Election, Alderman, Ward 20, Chicago, IL (Non-Partisan Aldermanic Election)"
